,公司代號,公司名稱,年份,數量
637,1435,中福,102,16
638,1435,中福,101,12
639,1435,中福,100,10
640,1436,華友聯,109,26
641,1436,華友聯,108,35
642,1436,華友聯,107,28
643,1436,華友聯,106,21
644,1436,華友聯,105,30
645,1436,華友聯,104,16
646,1436,華友聯,103,20
647,1436,華友聯,102,103
648,1436,華友聯,101,36
649,1436,華友聯,100,16
650,1437,勤益控,109,31
651,1437,勤益控,108,41
652,1437,勤益控,107,34
653,1437,勤益控,106,42
654,1437,勤益控,105,43
655,1437,勤益控,104,95
656,1437,勤益控,103,60
657,1437,勤益控,102,19
658,1437,勤益控,101,14
659,1437,勤益控,100,19
660,1438,三地開發,109,0
661,1438,三地開發,108,0
662,1438,三地開發,107,0
663,1438,三地開發,106,0
664,1438,三地開發,105,0
665,1438,三地開發,104,0
666,1438,三地開發,103,0
667,1438,三地開發,102,0
668,1438,三地開發,101,0
669,1438,三地開發,100,0
670,1439,中和,109,24
671,1439,中和,108,30
672,1439,中和,107,41
673,1439,中和,106,12
674,1439,中和,105,6
675,1439,中和,104,10
676,1439,中和,103,12
677,1439,中和,102,9
678,1439,中和,101,7
679,1439,中和,100,16
680,1440,南紡,109,17
681,1440,南紡,108,29
682,1440,南紡,107,20
683,1440,南紡,106,18
684,1440,南紡,105,29
685,1440,南紡,104,27
686,1440,南紡,103,22
687,1440,南紡,102,26
688,1440,南紡,101,15
689,1440,南紡,100,23
690,1441,大東,109,25
691,1441,大東,108,38
692,1441,大東,107,46
693,1441,大東,106,44
694,1441,大東,105,36
695,1441,大東,104,23
696,1441,大東,103,16
697,1441,大東,102,21
698,1441,大東,101,22
699,1441,大東,100,28
700,1442,名軒,109,20
701,1442,名軒,108,27
702,1442,名軒,107,10
703,1442,名軒,106,10
704,1442,名軒,105,18
705,1442,名軒,104,29
706,1442,名軒,103,9
707,1442,名軒,102,14
708,1442,名軒,101,11
709,1442,名軒,100,26
710,1443,立益,109,18
711,1443,立益,108,31
712,1443,立益,107,28
713,1443,立益,106,33
714,1443,立益,105,32
715,1443,立益,104,21
716,1443,立益,103,27
717,1443,立益,102,35
718,1443,立益,101,20
719,1443,立益,100,31
720,1444,力麗,109,11
721,1444,力麗,108,18
722,1444,力麗,107,13
723,1444,力麗,106,19
724,1444,力麗,105,16
725,1444,力麗,104,9
726,1444,力麗,103,11
727,1444,力麗,102,26
728,1444,力麗,101,32
729,1444,力麗,100,20
730,1445,大宇,109,17
731,1445,大宇,108,10
732,1445,大宇,107,12
733,1445,大宇,106,10
734,1445,大宇,105,5
735,1445,大宇,104,7
736,1445,大宇,103,11
737,1445,大宇,102,12
738,1445,大宇,101,10
739,1445,大宇,100,14
740,1446,宏和,109,13
741,1446,宏和,108,9
742,1446,宏和,107,11
743,1446,宏和,106,8
744,1446,宏和,105,5
745,1446,宏和,104,18
746,1446,宏和,103,6
747,1446,宏和,102,5
748,1446,宏和,101,13
749,1446,宏和,100,11
750,1447,力鵬,109,12
751,1447,力鵬,108,13
752,1447,力鵬,107,40
753,1447,力鵬,106,29
